Component Name#info,System,URL#info,Component Description#info,Source,Component Type,Function,Maturity/status,Domain Community,Steward Organization,References-Text#info,Protocols,InterchangeFormats ,InputFileFormat,Input parameters,Output file format,InformationModels,Implementation,TimeToLive#info,#name,#img,
Drupal,World Wide Web (WWW),,Drupal is a content management system which allows you to create and maintain many different types of websites without needing to know any coding languages.,cicomponentREview,platform,system,,,,,,,,,,,,,Drupal,globe.jpg,platform
Dryad Digital Repository,,http://datadryad.org/,"The Dryad Digital Repository is a curated resource that makes the data underlying scientific publications discoverable, freely reusable, and citable. Dryad provides a general-purpose home for a wide diversity of datatypes. Dryad welcomes data submissions related to published, or accepted, scholarly publications. Dryad's objectives are to serve as a repository for tables, spreadsheets, and all other kinds of data that do not have another discipline-specific repository, and to enable scientists to: validate published findings, explore new analysis methodologies, repurpose data for research questions unanticipated by the original authors, perform synthetic studies, and utilize data for educational purposes. 
Dryad is governed by a nonprofit membership organization. Membership is open to any stakeholder organization, including but not limited to journals, scientific societies, publishers, research institutions, libraries, and funding organizations.
Publishers are encouraged to facilitate data archiving by coordinating the submission of manuscripts with submission of data to Dryad. Learn more here.
Dryad originated from an initiative among a group of leading journals and scientific societies in evolutionary biology and ecology to adopt a joint data archiving policy (JDAP) for their publications, and the recognition that easy-to-use, sustainable, community-governed data infrastructure was needed to support such a policy. See this page to learn more about JDAP.",cicomponentREview,repository,data management,,,,,,,,,,,,,Dryad Digital Repository,database.jpg,repository
DYFAMED station in the Ligurian Sea,Mediterranean Ocean Observing System for the Environment (MOOSE),http://www.obs-vlfr.fr/sodyf/,"In the framework of the French MOOSE project (Mediterranean Ocean Observing System for the Environment), an eulerian time series so-called DYFAMED (Ligurian Sea) performs since 1991 a monthly multidisciplinary monitoring to observe: 1) the evolution of the water mass properties (LIW and WMDW), 2) the carbon export change and 3) the variability of the biological species relative to climate forcing (temperature, acidification).

In addition to monthly CTD profiles, a standalone mooring is located in the DYFAMED site with CTD and currents sensors (since 2009) and two sediment traps (Technicap PPS5) for collecting large particles and zooplankton every 15 days (48 samples per year).",hli,platform,data acquisition,operational,,DYnamics of Atmospheric Flows in MEDiterranean Sea (DYFAMED),,,,,,,,,,DYFAMED station in the Ligurian Sea,globe.jpg,platform
e-SOTER Regional pilot platform,Global Soil Observing System,http://www.esoter.net/ | http://eusoils.jrc.ec.europa.eu/projects/esoter/,"A web-based regional pilot platform with data, methodology, and applications, using remote sensing to validate, augment and extend existing data for a global soil and terrain database.  providing a Regional Pilot Platform that can be extended worldwide, for example under the proposed Gates Foundation initiative GlobalSoilMap.net. e-SOTER adds value by: 1) using remotely-sensed data both to validate and correct existing survey data; 2) to generate new data surfaces; 3) improving the quality of results of applications previously based on legacy data alone; and 4) providing a web service that delivers both selected data in an easy-to-use format and procedures to compile e-SOTER databases locally and upload these data to the European database if they meet prescribed quality standards. e-SOTER makes use of detailed digital elevation models (DEMs), recent advances in remote sensing, and new analytical tools for landform analysis, parent material detection and soil pattern recognition - both to extend the legacy soil data and to build a framework for new data acquisition. ",,cloud platform,,,Soil Science,,,,,,,,,,,e-SOTER Regional pilot platform,dataservice.jpg,cloud platform
E2-M3A (Southern Adriatic Sea Observatory) - NOTHI,,http://nettuno.ogs.trieste.it/e2-m3a/,"The E2-M3A observatory is positioned in the centre of the cyclonic gyre where deep convection process takes place, involving both the atmosphere and the ocean dynamics and forming new dense and oxygenated waters, thus triggering the solubility and the biological pump.
The E2-M3A observatory is particularly devoted towards studies for characterizing the long-term changes of Adriatic sea in response to local climatic forcing. ",,platform,,,Ocean Science,Fixed-point Open Ocean Observatories  FIXO3,,,,,,,,,,E2-M3A (Southern Adriatic Sea Observatory) - NOTHI,globe.jpg,platform
Earth Science Markup Language (ESML),,http://gcmd.nasa.gov/records/01-ghrc_ESML-00.html,"Markup language developed specifically for Earth Science resources based on XML.

The Earth Science Markup Language (ESML) is a specialized markup language for Earth Science metadata based on the eXtensible Markup Language (XML?). It is designed to provide a standard way for describing content, structure and semantic information of a data file, thus facilitating development of dataset-independent search, visualization, and analysis tools without requiring data to be in any particular format or formats (Source: GCMD)",hli,interchange format,,Community-Established,Generic,NASA,,,,,,,,,,Earth Science Markup Language (ESML),globe.jpg,interchange format
EarthChem Library,,http://www.earthchem.org/library,"A data repository for digital content from geoscience research.
The EarthChem Library is a data repository that archives, publishes and makes accessible data and other digital content from geoscience research (analytical data, data syntheses, models, technical reports, etc.).",,catalog,,AdHoc,Geochemistry,Integrated Earth Data Applications,,,,,,,,,,EarthChem Library,icon_catalog.jpg,catalog
EarthChem Portal Search,,http://www.earthchem.org/portal,"The EarthChem Portal offers a ""one-stop-shop"" for geochemistry data of the solid earth with access to complete data from multiple data systems. The portal returns integrated search results from the federated databases PetDB, SedDB, GEOROC, NavDat, USGS, and GANSEKI. The portal features mapping and visualization tools.  Home page for the EarthChem Portal Search. Used to access data from various databases including SedDB, PetDB, and more. Click 'Search' to set queries for various fields",hli,web site,data acquisition,AdHoc,Geochemistry,Integrated Earth Data Applications,,,,,,,,,,EarthChem Portal Search,globe.jpg,web site
EarthChem vocabularies,,http://www.earthchem.org/resources/vocabularies,list of vocabularies,,catalog,,Community-Defacto,Geochemistry,Integrated Earth Data Applications,,,,,,,,,,EarthChem vocabularies,icon_catalog.jpg,catalog
EarthData Code collaborative,EOSDIS,https://ecc.earthdata.nasa.gov/,"a platform for development, testing, and discovery of Earthdata-related applications and services.",cicomponentREview,platform,software development,,,NASA,,,,,,,,,,EarthData Code collaborative,globe.jpg,platform
ECHO: OpenSearch + homegrown,,https://api.echo.nasa.gov/catalog-rest/catalog-docs/index.html,"View of ECHO resources (XML or JSON) using HTTP methods
The ECHO REST Web Services API is a resource-oriented view of resources in ECHO that can be accessed through the use of HTTP with XML or JSON. These resources can be created, retrieved, updated, and deleted by using the HTTP methods POST, GET, PUT, and DELETE (Source: ECHO)",,catalog,,Community-Defacto,Atmosphere,NASA,,,,,,,,,,ECHO: OpenSearch + homegrown,icon_catalog.jpg,catalog
Economic Botany Data Collection Standard,,http://www.tdwg.org/standards/103/,"Studies on the uses of plants are becoming increasingly important. Standardisation of terms and a unified system to describe uses are of enormous benefit to gatherers of information, especially where exchanges of data sets are involved. The standard provides a system whereby uses of plants (in their cultural context) can be described, using standardised descriptors and terms, and attached to taxonomic data sets. It resulted from discussions at the International Working Group on Taxonomic Databases for Plant Sciences (TDWG) between 1989 and 1992.",hli,specification,TDWG,Conceptual,Biology,Biodiversity Information Standards (TDWG,,,,,,,,,,Economic Botany Data Collection Standard,globe.jpg,specification
EDMED Metadata Profile,,https://www.bodc.ac.uk/data/information_and_inventories/edmed/,"The European Directory of Marine Environmental Datasets metadata scheme, which is a profile of ISO 19115.",hli,specification,DCC,Conceptual,Ocean Science,Digital Curation Centre,,,,,,,,,,EDMED Metadata Profile,globe.jpg,specification
ElasticSearch,,http://www.elasticsearch.org/,"Elasticsearch is a flexible and powerful open source, distributed, real-time search and analytics engine. Architected from the ground up for use in distributed environments where reliability and scalability are must haves, Elasticsearch gives you the ability to move easily beyond simple full-text search. Through its robust set of APIs and query DSLs, plus clients for the most popular programming languages, Elasticsearch delivers on the near limitless promises of search technology",cicomponentREview,server application,search,operational,,,,,,,,,,,,ElasticSearch,globe.jpg,server application
electronic geological management system (EGEMS),,,"a database program for geological collections; incorporate existing data and add much more, including data for research materials which could not have easily been done using their previous system.",cicomponentREview,application,data management,,,,Sarah Timm Master's thesis,,,,,,,,,electronic geological management system (EGEMS),globe.jpg,application
Emergency Data Exchange Language (EDXL),,http://docs.oasis-open.org/emergency/edxl-de/,Index of markup language.,hli,interchange format,,Published Standard,ExtremeEvents,Organization for the Advancement of Structured Information Standards,,,,,,,,,,Emergency Data Exchange Language (EDXL),globe.jpg,interchange format
Emissions Vocabulary,,http://vocab.deri.ie/emissions,(enhance)Emissions Vocabulary,,vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,Emissions Vocabulary,vocabulary.jpg,vocabulary
Entity-Action vocabulary,,http://vocab.deri.ie/entity-action,Allows to map entities to actions that can be performed on them.,,vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,Entity-Action vocabulary,vocabulary.jpg,vocabulary
