Component Name#info,System,URL#link,Component Description#info,Source,Component Type#multi,Function#multi,Maturity/status,Domain Community#multi,Steward Organization,References-Text#info,Protocols#multi,InterchangeFormats#multi,InputFileFormat#multi,Input parameters#multi,Output file format#multi,InformationModels#multi,Implementation#multi,TimeToLive#info,#name,#img,#href
NEMO-SN1,FIXO3,http://www.fixo3.eu/observatory/nemo-sn1/ | http://www.moist.it/,"Multidisciplinary (geophysics, oceanography, bio-acoustics) observatory, located in Western Ionian See, offshore Catania (Sicily), deep-sea real-time multi-parameter observatory is currently being re-deployed after refurbishment and installations of new electronics.",NotDocumented,Platform,,Not Evaluated,Oceanography,Istituto Nazionale di Geofisica e Vulcanologia,,,,,,,,,,NEMO-SN1,globe.jpg,http://www.fixo3.eu/observatory/nemo-sn1/ | http://www.moist.it/
Neotoma Paleoecology database,,http://www.neotomadb.org/,"Neotoma Paleoecology Database and Community is an online hub for data, research, education, and discussion about paleoenvironments (http://www.neotomadb.org/)",High level inventory Pivot Viewer,Repository,,,BiologicalSpeciesEcology,,,,,,,,,,,Neotoma Paleoecology database,database.jpg,http://www.neotomadb.org/
NERC Vocabulary Server,,http://vocab.nerc.ac.uk/,Server for the vocabulary of the Natural Environment Research Council. NVS2.0 makes use of the World Wide Web Consortium's Simple Knowledge Organization System (SKOS) to represent knowledge in a format understandable by computers.,NotDocumented,Component,,Unknown,BiologicalSpeciesEcology,Natural Environment Research Council,,,,,,,,,,NERC Vocabulary Server,globe.jpg,http://vocab.nerc.ac.uk/
NERC Vocabulary Server 2.0 Devices,,http://mmisw.org/orr/#http://mmisw.org/ont/bodc/NVSDevicesToTRDIOntology,"Mapping between the SeaVox Device Catalogue, served from the NERC Vocabulary Server (NVS2.0) to the TRDI Ontology devices and glossary served from the MMI-ORR.",NotDocumented,Vocabulary,information exchange,Published Standard,Generic,Natural Environment Research Council,,,,,,,,,,NERC Vocabulary Server 2.0 Devices,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/bodc/NVSDevicesToTRDIOntology
NetCDF Attribute Convention for Dataset Discovery,,http://wiki.esipfed.org/index.php/Category:Attribute_Conventions_Dataset_Discovery,"The Attribute Convention for Dataset Discovery identify and define a list of NetCDF global attributes recommended for describing a NetCDF dataset to discovery systems such as Digital Libraries. Software tools will use these attributes for extracting metadata from datasets, and exporting to Dublin Core, DIF, ADN, FGDC, ISO 19115 etc. metadata formats.",NotDocumented,Vocabulary,information exchange,Unknown,Climatology,NOAA,,,,,,,,,,NetCDF Attribute Convention for Dataset Discovery,vocabulary.jpg,http://wiki.esipfed.org/index.php/Category:Attribute_Conventions_Dataset_Discovery
NetCDF Java Library,,http://www.unidata.ucar.edu/blogs/news/entry/netcdf_java_library_version_44,"The Java NetCDF library provides a common data model for accessing and manipulating science data sets. It can access remote datasets in many formats, including NetCDF, OpenDAP, GRIB/GRIB2, CSV etc. It enables to manipulate datasets",Original CIComponent Compilation,Software library,,,,Unidata,,,,,,,,,,NetCDF Java Library,globe.jpg,
NetCDF software,,http://www.unidata.ucar.edu/downloads/netcdf/index.jsp,"NetCDF (network Common Data Form) is a set of software libraries and machine-independent data formats that support the creation, access, and sharing of array-oriented scientific data. Distributions are provided for Java and C/C++/Fortran. ",High level inventory Pivot Viewer,Software library,DCC,Community-Established,Data Systems,Unidata,,,,,,,,,,NetCDF software,software.png,http://www.unidata.ucar.edu/downloads/netcdf/index.jsp
Network Clock,Ocean observatory initiative (OOI),,,Original CIComponent Compilation,Component,timekeeping,,,,,,,,,,,planned?,,Network Clock,globe.jpg,
Network Common Data Form (netCDF) standards suite,,http://www.opengeospatial.org/standards/netcdf,"OGC page giving an overview of netCDF's role in the Earth Science community as software. Links to downloadable netCDF standards. netCDF is a set of software libraries and self-describing, machine-independent data formats that support the creation, access, and sharing of array-oriented scientific data. The conventions for climate and forecast (CF) metadata are designed to promote the processing and sharing of netCDF files. The conventions define metadata that provide a definitive description of what the data represents, and the spatial and temporal properties of the data (Source: OGC)",High level inventory Pivot Viewer,Specification,Resource Catalog,Published Standard,Geospatial,Open Geospatial Consortium,,,,,,,,,,Network Common Data Form (netCDF) standards suite,globe.jpg,http://www.opengeospatial.org/standards/netcdf
NFS,Server OS *nix,,Networked File System,Original CIComponent Compilation,Interchange Format,machine interface,Operational,,,,,,,,,,,,NFS,globe.jpg,
NGDC DMSP Catalog,IRIS,http://geows.ds.iris.edu/geows-uf/dmsp/1/,Web Service for accessing GeoWS collaborator data - http://www.ngdc.noaa.gov/next-web/docs/guide/catalog.html#dmspCatalog,MikeStults,Data Access,data service,In Development,Earth Science,IRIS - Incorporated Research Institutions for Seismology,,HTTP API,GeoWS CSV,,,GeoWS CSV,not explicit,,,NGDC DMSP Catalog,dataservice.jpg,http://geows.ds.iris.edu/geows-uf/dmsp/1/
NGDC Water Level Tides,IRIS,http://geows.ds.iris.edu/geows-uf/waterleveltides/1/,Web Service for accessing GeoWS collaborator data - http://www.ngdc.noaa.gov/waterlevel/tides/data/extractForm,MikeStults,Data Access,data service,In Development,Earth Science,IRIS - Incorporated Research Institutions for Seismology,,HTTP API,GeoWS CSV,,,GeoWS CSV,not explicit,,,NGDC Water Level Tides,dataservice.jpg,http://geows.ds.iris.edu/geows-uf/waterleveltides/1/
Nimbus,Ocean Observatory Initiative (OOI),http://workspace.globus.org/,"Nimbus is an open source toolkit that allows you to turn your cluster into an Infrastructure-as-a-Service (IaaS) cloud. Feature highlights include the following. Three sets of remote interfaces: Amazon EC2 WSDLs, Amazon EC2 Query API and Grid community WSRF. Virtualization implementation based on either the Xen hypervisor and KVM. Can be configured to use familiar schedulers like PBS or SGE to schedule virtual machines. Launches self-configuring virtual clusters with one click. Defines an extensible architecture that allows you to customize the software to the needs of your project.",Original CIComponent Compilation,Software library,virtual machine deployment,Operational,,U Chicago,,,,,,,,,,Nimbus,software.png,http://workspace.globus.org/
NIST repository of materials,,http://nist.matdl.org/,The National Institute of Standards and Technology is establishing essential data exchange protocols and mechanisms for widespread adoption to ensure quality materials data and models and to foster data sharing and reuse.,Original CIComponent Compilation,Repository,,,,,,,,,,,,,,NIST repository of materials,globe.jpg,
NOAA Comprehensive Large Array Stewardship System (CLASS),,http://www.nsof.class.noaa.gov/saa/products/catSearch,"Search various NOAA datasets. The Comprehensive Large Array-data Stewardship System (CLASS) is an electronic library of NOAA environmental data. This web site provides capabilities for finding and obtaining those data. CLASS is NOAA's premiere on-line facility for the distribution of NOAA and US Department of Defense (DoD) Polar-orbiting Operational Environmental Satellite (POES) data, NOAA's Geostationary Operational Environmental Satellite (GOES) data, and derived data (Source: NOAA)",NotDocumented,System,,Unknown,Ocean Science,NOAA/NCDC,,,,,,,,,,NOAA Comprehensive Large Array Stewardship System (CLASS),globe.jpg,http://www.nsof.class.noaa.gov/saa/products/catSearch
NOAA Juvenile Rockfish Survey Parameters,,http://www.marinemetadata.org/2005/08/juv-rock,"Ontology from Juvenile Rockfish Survey - Data Manager Keith Sakuma, Keith.sakuma@noaa.gov",NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,NOAA,,,,,,,,,,NOAA Juvenile Rockfish Survey Parameters,vocabulary.jpg,http://www.marinemetadata.org/2005/08/juv-rock
NOAA National Coastal Data Development Center XML transformation Scheme,,http://www.ncddc.noaa.gov/metadata-standards/metadata-xml/,web page with listing of various XSLT and related software for manipulating metadata,NotDocumented,Catalog,,AdHoc,Oceanography,NOAA National Oceanographic Data Center,,,,,,,,,,NOAA National Coastal Data Development Center XML transformation Scheme,icon_catalog.jpg,http://www.ncddc.noaa.gov/metadata-standards/metadata-xml/
NOAA National Oceanographic Data Center (NODC) Collection-level Geoportal Server,,http://data.nodc.noaa.gov/geoportal/,"This Geoportal Server provides both human and machine discovery interfaces to NODC's archive. This instance of the Geoportal Server enables discovery of NODC's collection level records. This Geoportal Server provides both human and machine discovery interfaces to NODC's archive. This instance of the Geoportal Server enables discovery of NODC's collection level records. Every archived resource at NODC is included, and search results include metadata links, summary pages, and access links to available data services for each dataset (all datasets have at least FTP and HTTP. Some also have OPeNDAP Hyrax, THREDDS Data Server, Live Access Server, WMS, and/or WCS services). In addition, if a granule level discovery service is available for the selected dataset a link is also provided to that interface.",NotDocumented,Catalog,,Published Standard,Ocean Science,NOAA National Oceanographic Data Center,,,,,,,,,,NOAA National Oceanographic Data Center (NODC) Collection-level Geoportal Server,icon_catalog.jpg,http://data.nodc.noaa.gov/geoportal/
NOAA National Oceanographic Data Center (NODC) Granule-level Geoportal Server,,http://www.nodc.noaa.gov/geoportal/,"This Catalog provides an access point for discovery of the National Oceanographic Data Center's (NODC) collection level records. Every archived resource at NODC is included, and search results include metadata links, summary pages, and access links to available data services for each dataset. This Geoportal Server provides both human and machine discovery interfaces to selected granules in NODC's archive. This instance of the Geoportal Server enables discovery of NODC's granule level records. While many of NODC's collections have granule level inventories in this catalog, not all do at this point in time. Search results include metadata links, summary pages, and access links to available data services for each dataset (all datasets have at least FTP and HTTP. Some also have OPeNDAP Hyrax, THREDDS Data Server, Live Access Server, WMS, and/or WCS services).",NotDocumented,Catalog,,Published Standard,Ocean Science,NOAA National Oceanographic Data Center,,,,,,,,,,NOAA National Oceanographic Data Center (NODC) Granule-level Geoportal Server,icon_catalog.jpg,http://www.nodc.noaa.gov/geoportal/
NOAA National Oceanographic Data Center (NODC) Live Access Server (LAS),,http://data.nodc.noaa.gov/las,"The NODC Live Access Server (LAS) provides on-demand visualization, subsetting, basic analysis, and reformatting capabilities for a subset of NODC's ocean archive holdings. The NODC Live Access Server (LAS) provides on-demand visualization, subsetting, basic analysis, and reformatting capabilities for a subset of NODC's ocean archive holdings. Many gridded and time series-based datasets are included.",NotDocumented,Data Access,,,Oceanography,NOAA National Oceanographic Data Center,,,,,,,,,,NOAA National Oceanographic Data Center (NODC) Live Access Server (LAS),dataservice.jpg,http://data.nodc.noaa.gov/las
NOAA National Oceanographic Data Center (NODC) OPeNDAP Hyrax Server,,http://data.nodc.noaa.gov/opendap,"This OPeNDAP Hyrax Server for NOAA/NODC contains a large collection of interoperable data sets from NODC's ocean archive. While not all of NODC's archived data are available here, a very large number of interoperable datasets in formats like netCDF and HDF can be accessed here through the Hyrax services. Hyrax is a new data server which combines the efforts at UCAR/HAO to build a high performance DAP-compliant data server for the Earth System Grid II project with existing software developed by OPeNDAP. The server is intended to be a replacement for the existing 3.x servers which OPeNDAP is distributing (Source: OPeNDAP docs)",NotDocumented,Data Access,,,Oceanography,NOAA National Oceanographic Data Center,,,,,,,,,,NOAA National Oceanographic Data Center (NODC) OPeNDAP Hyrax Server,dataservice.jpg,http://data.nodc.noaa.gov/opendap
